nome;indice;latitude;longitude;raio
Polygon 066;1807;-20,406911;-54,593053;50
Polygon 066;1807;-20,443293;-54,569762;50
Polygon 723;723;-16,666801;-49,394731;50
Polygon 723;723;-16,665864;-49,391582;50
Polygon 723;723;-16,667807;-49,391575;50
Polygon 727;727;-16,758545;-49,705755;50
Polygon 068;1809;-20,758619;-51,694870;50
Polygon 068;1809;-20,758169;-51,694480;50
Polygon 068;1809;-20,757718;-51,694090;50
Polygon 325;1646;-23,510948;-47,578439;50
Polygon 325;1646;-23,510497;-47,578048;50
Polygon 325;1646;-23,512645;-47,585871;50
Polygon 272;1274;-22,412290;-54,427805;50
Polygon 327;1648;-23,169381;-46,703826;50
Polygon 710;710;-19,019007;-48,370600;50
Polygon 710;710;-19,016396;-48,373329;50
Polygon 070;1811;-20,440267;-54,543560;50
Polygon 070;1811;-20,439817;-54,543170;50
Polygon 071;1812;-20,256782;-50,802189;50
Polygon 274;1276;-20,749338;-49,334546;50
Polygon 325;1646;-23,512299;-47,578829;50
Polygon 325;1646;-23,511398;-47,578829;50
Polygon 325;1646;-23,510497;-47,578829;50
Polygon 066;1807;-20,408200;-54,596564;50
Polygon 066;1807;-20,407812;-54,593833;50
Polygon 074;1815;-20,229006;-50,882851;50
Polygon 075;1816;-20,397188;-54,613867;50
Polygon 075;1816;-20,391237;-54,627014;50
Polygon 704;704;-19,070552;-48,364244;50
Polygon 700;700;-14,037945;-49,183965;50
Polygon 700;700;-14,037044;-49,183965;50
Polygon 700;700;-14,037945;-49,183185;50
Polygon 322;1643;-23,577061;-47,057545;50
Polygon 322;1643;-23,577163;-47,059720;50
Polygon 275;1277;-21,312951;-50,364979;50
Polygon 275;1277;-21,312501;-50,365369;50
Polygon 275;1277;-21,312050;-50,364979;50
Polygon 275;1277;-21,315672;-50,369117;50
Polygon 710;710;-19,018557;-48,370990;50
Polygon 710;710;-19,018106;-48,371380;50
Polygon 710;710;-19,019458;-48,370210;50
Polygon 320;1641;-22,859040;-45,244517;50
Polygon 320;1641;-22,872639;-45,262914;50
Polygon 320;1641;-22,856479;-45,248627;50
Polygon 320;1641;-22,837047;-45,233860;50
Polygon 320;1641;-22,828194;-45,210069;50
Polygon 320;1641;-22,865147;-45,220540;50
Polygon 320;1641;-22,858143;-45,227960;50
Polygon 321;1642;-23,729582;-45,814322;50
Polygon 321;1642;-23,729132;-45,813932;50
Polygon 700;700;-14,037495;-49,183575;50
Polygon 076;1817;-20,255149;-50,653380;50
