nome,indice,latitude,longitude,raio
Polygon 241,2129,-22.419459999132865,-48.452600967312904,10
Polygon 241,2129,-22.419369909042775,-48.45267898761955,10
Polygon 241,2129,-22.419459999132865,-48.45244492669961,10
Polygon 241,2129,-22.419057735510318,-48.453598843763736,10
Polygon 241,2129,-22.419057735510318,-48.453442803150445,10
Polygon 317,317,-19.00091331900991,-48.38535771898006,10
Polygon 317,317,-19.00082322891982,-48.385435739286706,10
Polygon 317,317,-18.995100007116058,-48.38678791979856,10
Polygon 317,317,-18.995009917025968,-48.3868659401052,10
Polygon 317,317,-18.99528018729624,-48.386631879185266,10
Polygon 241,2129,-22.42852896632973,-48.44040983375448,10
Polygon 241,2129,-22.42834878614955,-48.44040983375448,10
Polygon 317,317,-18.99822920502973,-48.39572936093875,10
Polygon 317,317,-18.99822920502973,-48.39588540155204,10
Polygon 317,317,-18.99831929511982,-48.3958073812454,10
Polygon 317,317,-18.983016122254064,-48.371794402214064,10
Polygon 317,317,-18.982401641934345,-48.36549175983842,10
Polygon 317,317,-18.982401641934345,-48.36533571922513,10
Polygon 317,317,-18.982311551844255,-48.365413739531775,10
Polygon 317,317,-19.00073313882973,-48.38551375959335,10
Polygon 317,317,-18.99840938520991,-48.396197482778625,10
Polygon 317,317,-18.99840938520991,-48.396041442165334,10
Polygon 317,317,-18.99840938520991,-48.39588540155204,10
Polygon 317,317,-18.99831929511982,-48.39596342185869,10
Polygon 107,1428,-22.56641786915333,-44.908546101494565,10
Polygon 107,1428,-22.57425990990991,-44.90185280638511,10
Polygon 107,1428,-22.57425990990991,-44.90169676577182,10
Polygon 020,1343,-22.956923867746863,-45.50928317396478,10
Polygon 317,317,-19.00905461260991,-48.378049531262924,10
Polygon 317,317,-19.008712643586755,-48.37834824841302,10
Polygon 102,1423,-23.328279141152834,-46.938146860374395,10
Polygon 102,1423,-23.328098960972653,-46.938146860374395,10
Polygon 102,1423,-23.328189051062743,-46.93806884006775,10
Polygon 102,1423,-23.328189051062743,-46.93791279945446,10
Polygon 317,317,-18.995190097206148,-48.38670989949191,10
Polygon 103,1424,-23.586360094458826,-47.53518583230324,10
Polygon 103,1424,-23.585768985963398,-47.53684379289336,10
Polygon 024,1347,-23.797118078726086,-45.99805173925513,10
Polygon 024,1347,-23.797027988635996,-45.99812975956178,10
Polygon 024,1347,-23.79744890990991,-45.99844253374724,10
Polygon 025,1348,-23.71525991125991,-46.35233609056025,10
Polygon 025,1348,-23.71516982116982,-46.352414110866896,10
Polygon 317,317,-18.982926032163974,-48.37171638190742,10
Polygon 317,317,-18.96776802223561,-48.375660964233866,10
Polygon 317,317,-18.98349923269899,-48.36285707630492,10
Polygon 243,2130,-22.50106612292973,-48.553490874549745,10
Polygon 243,2130,-22.49694296600991,-48.571320654517585,10
Polygon 243,2130,-22.49694296600991,-48.571164613904294,10
Polygon 243,2130,-22.49685287591982,-48.57124263421094,10
Polygon 243,2130,-22.49694296600991,-48.571008573291,10
Polygon 243,2130,-22.49685287591982,-48.57108659359765,10
Polygon 243,2130,-22.491252680229728,-48.581805894593344,10
Polygon 243,2130,-22.49143286040991,-48.58164985398005,10
Polygon 243,2130,-22.491342770319818,-48.5817278742867,10
Polygon 243,2130,-22.476780423709098,-48.57659257649797,10
Polygon 243,2130,-22.474345942541873,-48.570365884257704,10
Polygon 243,2130,-22.474616212812144,-48.57028786395106,10
Polygon 243,2130,-22.457294551837595,-48.570606366485144,10
Polygon 243,2130,-22.48405856528743,-48.5539313278397,10
Polygon 243,2130,-22.48405856528743,-48.55377528722641,10
Polygon 243,2130,-22.483434546703847,-48.550961225885196,10
Polygon 243,2130,-22.483344456613757,-48.55103924619184,10
Polygon 243,2130,-22.50097592780991,-48.54571240408006,10
Polygon 243,2130,-22.50088583771982,-48.5457904243867,10
Polygon 243,2130,-22.50097592780991,-48.545556363466766,10
Polygon 243,2130,-22.50097592780991,-48.545400322853475,10
Polygon 243,2130,-22.4998668444905,-48.54910315430673,10
Polygon 243,2130,-22.500452072185674,-48.55427861047176,10
Polygon 243,2130,-22.49899989770991,-48.56602560541207,10
Polygon 243,2130,-22.49890980761982,-48.565791544492136,10
Polygon 243,2130,-22.499159346090117,-48.55001381173841,10
Polygon 246,2132,-22.936101058286592,-48.47589019494044,10
Polygon 243,2130,-22.4780044331065,-48.575137860733925,10
Polygon 316,316,-17.81939581761982,-50.9145160567095,10
Polygon 316,316,-17.81930572752973,-50.914438036402856,10
Polygon 028,1350,-23.593103325752402,-47.1623007262756,10
Polygon 316,316,-17.81948590770991,-50.91459407701615,10
Polygon 316,316,-17.819847734409908,-50.91208117036577,10
Polygon 244,2131,-22.3700137231309,-49.11705679071976,10
Polygon 246,2132,-22.935027123508036,-48.48160416104336,10
Polygon 246,2132,-22.933512506979884,-48.48127156104336,10
Polygon 246,2132,-22.933512506979884,-48.481115520430066,10
Polygon 246,2132,-22.933353487732305,-48.47645764697216,10
Polygon 246,2132,-22.933353487732305,-48.47630160635887,10
Polygon 246,2132,-22.936010968196502,-48.475812174633795,10
Polygon 246,2132,-22.93860845125991,-48.47907883463754,10
Polygon 246,2132,-22.93860845125991,-48.47892279402425,10
Polygon 246,2132,-22.93860845125991,-48.47876675341096,10
Polygon 025,1348,-23.71525991125991,-46.35218004994696,10
Polygon 025,1348,-23.714485885365853,-46.35320672694087,10
Polygon 101,1422,-23.64735143395602,-47.43687419154314,10
Polygon 101,1422,-23.64735143395602,-47.43671815092985,10
Polygon 101,1422,-23.64707639349672,-47.434084296349326,10
Polygon 101,1422,-23.64698630340663,-47.43400627604268,10
Polygon 101,1422,-23.64913750210991,-47.43119832803337,10
Polygon 101,1422,-23.64904741201982,-47.43112030772672,10
Polygon 101,1422,-23.651603735927907,-47.43318581209321,10
Polygon 101,1422,-23.65174579750991,-47.43366804697653,10
Polygon 246,2132,-22.93851836116982,-48.478844773717604,10
Polygon 028,1350,-23.5931397732376,-47.16181269741356,10
Polygon 028,1350,-23.5931397732376,-47.16165665680027,10
Polygon 034,1356,-23.794039219437142,-46.08369697969336,10
Polygon 034,1356,-23.794129309527232,-46.08361895938671,10
Polygon 034,1356,-23.794039219437142,-46.083540939080066,10
Polygon 034,1356,-23.79394912934705,-46.08330687816013,10
Polygon 034,1356,-23.79385903925696,-46.083228857853484,10
Polygon 034,1356,-23.79376894916687,-46.08330687816013,10
Polygon 306,306,-17.71128347792973,-48.656020848348206,10
Polygon 308,308,-16.73945798660991,-49.219082764921325,10
Polygon 308,308,-16.73945798660991,-49.218926724308034,10
Polygon 308,308,-16.73945798660991,-49.21877068369474,10
